id;name;address;rating;discount_percentage;advertising;discount_active
92d64b6b-1b6e-47eb-a9d6-489d7e05f76e;than storyboard;jute moor;27040.68;2842.46;false;true
b042c03a-0cb1-45c9-b4fa-3ecd57ccfefc;brr enterprise;analgesia whenever;19443.16;25189.78;false;true
a46351d1-6d0f-4325-a367-55e5d8e325cc;likeness of;by library;5271.08;8775.91;false;false
817c229b-6f84-41a2-8092-670486e8640a;left;tweet;7743.74;25578.38;true;false
03183fde-0891-4479-9b63-cf5ada7f25a5;pace;preservation sting unnecessarily;31264.44;23553.96;true;false
85cf1b3f-0212-479a-89ac-55a919d2e8e5;clerk into rowing;off;1139.74;16207.1;true;false
9581c242-f52a-4b5b-8154-02da6322cde3;distinct;eek however fear;22713.6;1300.35;true;false
36df0e78-12cb-4a75-8032-39ceb9720a9f;on an;from admonish;12892.06;3599.19;false;false
b23f01e4-78c6-44d5-943d-78663ea20d1f;upshift whoa crook;meh boohoo;10324.5;19256.49;false;true
d08b0f07-edf7-453c-a7d2-1c90718b782c;poison;or lest;17237.57;11015.41;false;false
